# Tokenized code for 501009-v1.0.0-bad
CENTER_NODE: 68719476736  NODE_INDEX: 0
FRAGMENT_COUNT: 6
  NODE_ID[0]: 68719476736
  NODE_INDEX[0]: 0
  EDGE_TYPE_INDEX[0]: 0
  TYPE[0]: IDENTIFIER
  ORIGINAL[0]: a
  TOKENIZED[0]: VAR1
  NODE_ID[1]: 30064771072
  NODE_INDEX[1]: 1
  EDGE_TYPE_INDEX[1]: 2
  TYPE[1]: CALL
  ORIGINAL[1]: a[10]
  TOKENIZED[1]: VAR1 [ 10 ]
  NODE_ID[2]: 30064771073
  NODE_INDEX[2]: 2
  EDGE_TYPE_INDEX[2]: 0
  TYPE[2]: CALL
  ORIGINAL[2]: a[10]
  TOKENIZED[2]: VAR1 [ 10 ]
  NODE_ID[3]: 30064771077
  NODE_INDEX[3]: 3
  EDGE_TYPE_INDEX[3]: 0
  TYPE[3]: CALL
  ORIGINAL[3]: a[0]
  TOKENIZED[3]: VAR1 [ 0 ]
  NODE_ID[4]: 68719476737
  NODE_INDEX[4]: 4
  EDGE_TYPE_INDEX[4]: 0
  TYPE[4]: IDENTIFIER
  ORIGINAL[4]: a
  TOKENIZED[4]: VAR1
  NODE_ID[5]: 68719476739
  NODE_INDEX[5]: 5
  EDGE_TYPE_INDEX[5]: 0
  TYPE[5]: IDENTIFIER
  ORIGINAL[5]: a
  TOKENIZED[5]: VAR1

